127.0.0.1 - - [09/Feb/2021:19:19:00 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:51 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:19:51 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:10 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:10 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:10 +0530] "GET /ORSProject3/theam_wel/image/fav-icon.png HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:13 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:13 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:13 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:13 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:13 +0530] "GET /ORSProject3/image/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:13 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:13 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:17 +0530] "GET /ORSProject3/LoginCtl HTTP/1.1" 200 11885
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:17 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:17 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:17 +0530] "GET /ORSProject3/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:17 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:37 +0530] "POST /ORSProject3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:37 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:37 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:37 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:37 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:49 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:49 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:49 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:49 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:52 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:52 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:52 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:52 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:56 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:56 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:56 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:56 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:57 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:57 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:57 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:36:57 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:01 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:01 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:01 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:01 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:04 +0530] "GET /ORSProject3/LoginCtl?operation=logout HTTP/1.1" 200 11916
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:04 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:04 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:04 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:49 +0530] "POST /ORSProject3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:49 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:49 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:49 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:49 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:53 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:53 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:53 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:53 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:56 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:56 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:56 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:56 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:37:56 +0530] "GET /ORSProject3/theam_wel/image/fav-icon.png HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:16 +0530] "GET /ORSProject3/LoginCtl?operation=logout HTTP/1.1" 200 11916
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:16 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:16 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:16 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:25 +0530] "POST /ORSProject3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:25 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 17302
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:25 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:25 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:25 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:36 +0530] "GET /ORSProject3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 26444
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:36 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:36 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:36 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:47 +0530] "GET /ORSProject3/ctl/JasperCtl HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:38:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:05 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 200 28376
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:05 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:05 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:05 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:41:58 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 200 28376
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:41:58 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:41:58 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:41:58 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:41:58 +0530] "GET /ORSProject3/theam_wel/image/fav-icon.png HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:43:52 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 200 25936
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:43:52 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:43:52 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:43:52 +0530] "GET /project3/image/fff.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:43:52 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:02 +0530] "POST /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 200 22701
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:02 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:02 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:02 +0530] "GET /project3/image/fff.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:03 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:16 +0530] "POST /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 200 19851
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:16 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:16 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:16 +0530] "GET /project3/image/fff.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:16 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:20 +0530] "POST /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:20 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 200 25936
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:20 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:20 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:20 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:44:20 +0530] "GET /project3/image/fff.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [09/Feb/2021:20:11:06 +0530] "GET /ORSProject4/ HTTP/1.1" 404 1048
