127.0.0.1 - - [16/Mar/2021:19:44:29 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:44:31 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:44:32 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:56:59 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:56:59 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:57:24 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:57:25 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:57:25 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:57:25 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:57:25 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:58:49 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:58:49 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:58:49 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:19:58:49 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:26 +0530] "GET /ORSProject3/UserRegistrationCtl HTTP/1.1" 200 17391
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:26 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:26 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:26 +0530] "GET /ORSProject3/js/calendar.js HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:26 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:26 +0530] "GET /ORSProject3/image/login.jpg HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:31 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:31 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:31 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:31 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:34 +0530] "GET /ORSProject3/UserRegistrationCtl HTTP/1.1" 200 17391
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:34 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:34 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:01:34 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [16/Mar/2021:20:05:38 +0530] "GET /ORSProject3/LoginCtl HTTP/1.1" 200 11885
