0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:09 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:14 +0530] "GET /ORSProject3/LoginCtl HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:14 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:14 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:14 +0530] "GET /ORSProject3/image/bg_login.jpg HTTP/1.1" 200 126611
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:14 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:19 +0530] "GET /ORSProject3/UserRegistrationCtl HTTP/1.1" 200 17392
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:19 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:19 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:19 +0530] "GET /ORSProject3/js/calendar.js HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:19 +0530] "GET /ORSProject3/image/bg_reg.jpg HTTP/1.1" 200 358164
0:0:0:0:0:0:0:1 - - [29/Jan/2021:21:31:19 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
